"filename", "language", "TypeScript React", "TypeScript", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Activity.tsx", "TypeScript React", 95, 0, 0, 10, 105
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\ActivityPopup.tsx", "TypeScript React", 110, 0, 3, 10, 123
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Bunny.tsx", "TypeScript React", 433, 0, 92, 44, 569
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\BunnyGeneration.tsx", "TypeScript React", 46, 0, 0, 4, 50
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Container.tsx", "TypeScript React", 59, 0, 143, 11, 213
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\EquipPopUp.tsx", "TypeScript React", 33, 0, 1, 5, 39
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Equipment.tsx", "TypeScript React", 327, 0, 9, 28, 364
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\EquipmentCards.tsx", "TypeScript React", 208, 0, 0, 14, 222
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Home.tsx", "TypeScript React", 82, 0, 0, 11, 93
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Inventory.tsx", "TypeScript React", 53, 0, 21, 8, 82
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\InventoryCards.tsx", "TypeScript React", 2985, 0, 0, 422, 3407
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Marketplace.tsx", "TypeScript React", 43, 0, 28, 7, 78
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\MarketplaceCards.tsx", "TypeScript React", 616, 0, 0, 34, 650
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Menu.tsx", "TypeScript React", 50, 0, 0, 6, 56
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\Work.tsx", "TypeScript React", 144, 0, 0, 12, 156
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\WorkItem.tsx", "TypeScript React", 83, 0, 0, 12, 95
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\WorkPopup.tsx", "TypeScript React", 109, 0, 3, 8, 120
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\activeTaskInterface.ts", "TypeScript", 0, 4, 0, 2, 6
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\bunnyInterface.ts", "TypeScript", 0, 148, 0, 11, 159
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\equipmentItemInterface.ts", "TypeScript", 0, 19, 0, 0, 19
"c:\Users\Иван Забурдаев\Desktop\degen-bunny\degen-bunny\components\workItemInterface.ts", "TypeScript", 0, 20, 0, 0, 20
"Total", "-", 5476, 191, 300, 659, 6626
